PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
203084,Harrison Barnes,1610612759,SAS,33.0,15,11,4,30.1,13.1,3.1,2.1,1.0,0.3,1.3,0.537,0.463,0.929
1631127,Harrison Ingram,1610612759,SAS,22.0,3,2,1,3.6,1.7,1.0,0.0,0.0,0.0,0.0,0.667,1.0,0.0
1630529,Herbert Jones,1610612740,NOP,27.0,16,2,14,30.3,9.5,3.8,2.3,1.4,0.3,1.6,0.39,0.362,0.739
1642864,Hugo González,1610612738,BOS,19.0,12,5,7,11.8,2.8,1.8,0.6,0.8,0.2,0.5,0.438,0.5,0.0
1630621,Hunter Dickinson,1610612740,NOP,24.0,1,0,1,4.7,2.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0
1642282,Hunter Sallis,1610612755,PHI,22.0,3,2,1,2.2,0.7,0.3,0.3,0.0,0.0,0.7,1.0,0.0,0.0
1641816,Hunter Tyson,1610612743,DEN,25.0,6,5,1,4.1,0.3,1.8,0.3,0.2,0.0,0.0,0.0,0.0,1.0
1630193,Immanuel Quickley,1610612761,TOR,26.0,16,11,5,31.7,15.9,4.6,6.1,1.4,0.1,1.6,0.474,0.388,0.767
1642403,Isaac Jones,1610612765,DET,25.0,4,2,2,4.6,1.3,0.5,0.3,0.0,0.0,0.0,0.5,0.0,0.5
1630171,Isaac Okoro,1610612741,CHI,24.0,15,8,7,24.8,8.2,2.7,1.6,0.4,0.7,1.0,0.459,0.383,0.75
1642268,Isaiah Collier,1610612762,UTA,21.0,7,2,5,23.6,9.9,3.0,6.4,0.3,0.4,3.0,0.59,0.5,0.741
1628392,Isaiah Hartenstein,1610612760,OKC,27.0,17,16,1,28.1,12.4,10.7,3.5,1.4,0.6,2.2,0.7,0.0,0.667
1630543,Isaiah Jackson,1610612754,IND,23.0,16,2,14,18.9,7.9,6.1,1.0,0.8,0.6,1.2,0.563,0.0,0.778
1630198,Isaiah Joe,1610612760,OKC,26.0,12,11,1,25.3,14.2,2.9,1.7,0.8,0.2,0.9,0.443,0.415,0.906
1630587,Isaiah Livers,1610612756,PHX,27.0,10,5,5,10.7,2.7,1.7,0.4,0.2,0.3,0.2,0.421,0.353,0.833
